key,reference,title,deadline,salary,score,description,more-info,draft-mode,key:employer,key:contractor
job-01,EMP01-JOB01,Title 1,2030/12/11 23:00,"EUR 15,000.98",10.45,Lorem ipsum sit dolor amet.,http://www.example.com,false,employer-01,company-01
job-02,EMP01-JOB02,Title 2,2030/12/11 23:00,"USD 20,000.00",99.98,Lorem ipsum sit dolor amet.,http://www.example.com,false,employer-01,company-01
job-03,EMP01-JOB03,Title 3,2000/01/30 00:00,"USD 25,000.00",50,Lorem ipsum sit dolor amet.,http://www.example.com,false,employer-01,company-01
job-04,EMP01-JOB04,Title 4,2030/01/30 00:00,"GBP 30,000.00",0,Lorem ipsum sit dolor amet.,null,true,employer-01,company-02
job-05,EMP01-JOB05,Title 5,2030/02/28 10:00,"USD 12,345.00",1.45,Lorem ipsum sit dolor amet.,null,true,employer-01,company-02
job-06,EMP02-JOB01,Title 6,2030/03/30 11:00,"EUR 12,345.00",75.11,Lorem ipsum sit dolor amet.,null,false,employer-02,company-04
job-07,EMP02-JOB02,Title 7,2030/04/30 12:00,"BGP 10,000,000.00",99.99,Lorem ipsum sit dolor amet.,http://www.org,false,employer-02,company-04
job-08,EMP02-JOB03,Title 8,2030/05/30 13:00,"THB 100,000,000.00",0.99,Lorem ipsum sit dolor amet.,null,false,employer-02,company-05
job-09,EMP02-JOB04,Title 9,2030/06/30 13:00,"THB 1,234,567.89",0.01,Lorem ipsum sit dolor amet.,null,false,employer-02,company-05
job-10,EMP03-JOB10,Title 10,2030/06/30 13:00,"CAD 1,000.00",99.99,Lorem ipsum sit dolor amet,https://www.jobs.org,true,employer-03,company-06
job-11,EMP03-JOB11,貸んい建濯よ芝弾テソ,2030/06/30 13:00,"CAD 1,000.00",99.99,Λορεμ ιπσθμ δολορ σιτ αμετ,https://www.jobs.org,true,employer-03,company-06
job-12,EMP03-JOB12,коза коза,2030/06/30 13:00,"CAD 1,000.00",99.99,თხა თხა,https://www.jobs.org,true,employer-03,company-06
